timestamp,close,vol,trade_count
2026-05-20T12:10:00Z,224.08,100,1
2026-05-20T12:13:00Z,223.98,320,3
2026-05-20T12:30:00Z,224.27,100,1
2026-05-20T12:46:00Z,224.2,170,2
2026-05-20T13:09:00Z,224.08,195,2
2026-05-20T13:12:00Z,223.88,545,5
2026-05-20T13:30:00Z,221.43,36169,629
2026-05-20T13:31:00Z,221.95,23363,255
2026-05-20T13:32:00Z,221.79,25066,295
2026-05-20T13:33:00Z,221.97,12144,171
2026-05-20T13:34:00Z,222.22,10653,160
2026-05-20T13:35:00Z,221.9,11220,166
2026-05-20T13:36:00Z,221.175,11128,210
2026-05-20T13:37:00Z,221.03,27472,346
2026-05-20T13:38:00Z,220.69,26751,342
2026-05-20T13:39:00Z,221.06,24859,349
2026-05-20T13:40:00Z,221.68,28343,406
2026-05-20T13:41:00Z,221.3,18649,305
2026-05-20T13:42:00Z,221.31,58590,580
2026-05-20T13:43:00Z,221.91,14606,262
2026-05-20T13:44:00Z,221.99,29854,413
2026-05-20T13:45:00Z,221.72,36551,385
2026-05-20T13:46:00Z,222.26,30761,303
2026-05-20T13:47:00Z,222.11,25503,242
2026-05-20T13:48:00Z,222.23,20586,234
2026-05-20T13:49:00Z,221.76,43500,384
2026-05-20T13:50:00Z,221.8,10398,114
2026-05-20T13:51:00Z,221.4,11311,148
2026-05-20T13:52:00Z,221.985,11213,147
2026-05-20T13:53:00Z,221.93,15616,181
2026-05-20T13:54:00Z,221.265,13815,181
2026-05-20T13:55:00Z,220.87,30023,302
2026-05-20T13:56:00Z,221.48,17969,270
2026-05-20T13:57:00Z,222.06,18348,184
2026-05-20T13:58:00Z,221.755,11964,181
2026-05-20T13:59:00Z,221.97,6768,92
2026-05-20T14:00:00Z,222.24,15898,150
2026-05-20T14:01:00Z,222.075,11353,149
2026-05-20T14:02:00Z,221.96,8220,121
2026-05-20T14:03:00Z,221.875,5391,94
2026-05-20T14:04:00Z,222.175,10840,190
2026-05-20T14:05:00Z,222.625,14156,191
2026-05-20T14:06:00Z,222.73,18744,167
2026-05-20T14:07:00Z,222.97,15498,177
2026-05-20T14:08:00Z,223.23,10435,123
2026-05-20T14:09:00Z,223.12,19549,207
2026-05-20T14:10:00Z,223.14,15204,228
2026-05-20T14:11:00Z,222.96,18072,279
2026-05-20T14:12:00Z,222.69,10881,185
