timestamp,close,vol,trade_count
2026-05-20T12:30:00Z,388.41,40,1
2026-05-20T13:30:00Z,390.33,10973,246
2026-05-20T13:31:00Z,392.2,11538,171
2026-05-20T13:32:00Z,391.095,5486,124
2026-05-20T13:33:00Z,392.205,7865,170
2026-05-20T13:34:00Z,392.945,4615,103
2026-05-20T13:35:00Z,391.65,11940,206
2026-05-20T13:36:00Z,390.215,6223,142
2026-05-20T13:37:00Z,389.665,4705,96
2026-05-20T13:38:00Z,389.06,14929,187
2026-05-20T13:39:00Z,389.1,10693,175
2026-05-20T13:40:00Z,389.77,4211,106
2026-05-20T13:41:00Z,389.5,4831,111
2026-05-20T13:42:00Z,388.53,2537,77
2026-05-20T13:43:00Z,388.575,3680,89
2026-05-20T13:44:00Z,388.765,3888,114
2026-05-20T13:45:00Z,387.85,6880,161
2026-05-20T13:46:00Z,388.47,1372,43
2026-05-20T13:47:00Z,388.68,1854,47
2026-05-20T13:48:00Z,388.705,2300,56
2026-05-20T13:49:00Z,388.27,3637,86
2026-05-20T13:50:00Z,387.95,3946,125
2026-05-20T13:51:00Z,387.78,4898,131
2026-05-20T13:52:00Z,387.925,4121,98
2026-05-20T13:53:00Z,387.72,6998,87
2026-05-20T13:54:00Z,386.74,4433,110
2026-05-20T13:55:00Z,385.82,3494,91
2026-05-20T13:56:00Z,385.42,7717,139
2026-05-20T13:57:00Z,386.13,5676,91
2026-05-20T13:58:00Z,386.22,4074,71
2026-05-20T13:59:00Z,386.855,10157,101
2026-05-20T14:00:00Z,386.395,5323,93
2026-05-20T14:01:00Z,385.8,2279,70
2026-05-20T14:02:00Z,385.73,3776,100
2026-05-20T14:03:00Z,384.8,2891,69
2026-05-20T14:04:00Z,384.745,4172,100
2026-05-20T14:05:00Z,383.76,5211,100
2026-05-20T14:06:00Z,385.12,7611,159
2026-05-20T14:07:00Z,384.71,2571,50
2026-05-20T14:08:00Z,384.56,2807,67
2026-05-20T14:09:00Z,384.16,2846,71
2026-05-20T14:10:00Z,383.65,2091,51
2026-05-20T14:11:00Z,383.12,7269,127
2026-05-20T14:12:00Z,383.14,6889,128
2026-05-20T14:13:00Z,383.69,1792,48
2026-05-20T14:14:00Z,384.08,4098,103
2026-05-20T14:15:00Z,385.22,4637,101
2026-05-20T14:16:00Z,385.74,5229,144
2026-05-20T14:17:00Z,385.055,14392,350
2026-05-20T14:18:00Z,384.5,13833,340
2026-05-20T14:19:00Z,385.68,5022,116
2026-05-20T14:20:00Z,386.56,3749,96
2026-05-20T14:21:00Z,386.51,3990,102
2026-05-20T14:22:00Z,386.36,4403,91
2026-05-20T14:23:00Z,386.27,5467,122
2026-05-20T14:24:00Z,385.99,5049,120
2026-05-20T14:25:00Z,385.53,5099,178
2026-05-20T14:26:00Z,385.41,2763,93
2026-05-20T14:27:00Z,385.45,2702,83
2026-05-20T14:28:00Z,385.335,3303,87
2026-05-20T14:29:00Z,384.72,3201,102
2026-05-20T14:30:00Z,385.14,9594,257
2026-05-20T14:31:00Z,385.23,4686,118
2026-05-20T14:32:00Z,384.77,2475,93
2026-05-20T14:33:00Z,384.72,6276,175
2026-05-20T14:34:00Z,384.635,2378,75
2026-05-20T14:35:00Z,384.55,2578,83
2026-05-20T14:36:00Z,385.14,2700,57
2026-05-20T14:37:00Z,384.86,2805,76
2026-05-20T14:38:00Z,384.76,1425,45
2026-05-20T14:39:00Z,384.77,1183,50
2026-05-20T14:40:00Z,384.53,2364,62
2026-05-20T14:41:00Z,384.6,6562,116
2026-05-20T14:42:00Z,384.65,2198,57
2026-05-20T14:43:00Z,384.46,1394,45
2026-05-20T14:44:00Z,385.135,3463,85
2026-05-20T14:45:00Z,384.83,2698,76
2026-05-20T14:46:00Z,384.65,1698,44
2026-05-20T14:47:00Z,384.51,2067,67
2026-05-20T14:48:00Z,384.655,2259,54
2026-05-20T14:49:00Z,384.35,2242,59
2026-05-20T14:50:00Z,384.235,2930,78
2026-05-20T14:51:00Z,384.3,3394,77
2026-05-20T14:52:00Z,384.15,1371,39
2026-05-20T14:53:00Z,384.72,2362,64
2026-05-20T14:54:00Z,384.97,2608,70
2026-05-20T14:55:00Z,385.22,2944,72
2026-05-20T14:56:00Z,385.455,3069,72
2026-05-20T14:57:00Z,385.52,1385,37
2026-05-20T14:58:00Z,384.855,3979,99
2026-05-20T14:59:00Z,385.36,2321,72
2026-05-20T15:00:00Z,385.81,2966,85
2026-05-20T15:01:00Z,385.74,5909,148
2026-05-20T15:02:00Z,385.65,3030,80
2026-05-20T15:03:00Z,385.2,3484,116
2026-05-20T15:04:00Z,384.94,2299,54
2026-05-20T15:05:00Z,385.13,6169,90
2026-05-20T15:06:00Z,384.63,4747,154
2026-05-20T15:07:00Z,384.2,2438,46
2026-05-20T15:08:00Z,384.175,2622,47
2026-05-20T15:09:00Z,384.47,674,23
