timestamp,close,vol,trade_count
2026-05-20T12:21:00Z,298.55,40,1
2026-05-20T12:26:00Z,298.9,100,4
2026-05-20T12:30:00Z,299,40,1
2026-05-20T12:32:00Z,299.03,80,2
2026-05-20T12:33:00Z,299.15,147,5
2026-05-20T13:02:00Z,298.09,110,4
2026-05-20T13:11:00Z,298.1,160,3
2026-05-20T13:14:00Z,298.25,40,1
2026-05-20T13:22:00Z,298.38,500,8
2026-05-20T13:25:00Z,298.11,107,2
2026-05-20T13:30:00Z,298.845,18263,253
2026-05-20T13:31:00Z,299.65,4239,100
2026-05-20T13:32:00Z,299.86,6093,108
2026-05-20T13:33:00Z,300.19,4906,137
2026-05-20T13:34:00Z,300.82,7132,100
2026-05-20T13:35:00Z,301.02,3378,78
2026-05-20T13:36:00Z,300.85,3600,85
2026-05-20T13:37:00Z,300.23,4104,103
2026-05-20T13:38:00Z,300.09,5278,73
2026-05-20T13:39:00Z,300.05,7535,129
2026-05-20T13:40:00Z,300.63,5159,150
2026-05-20T13:41:00Z,300.56,5815,113
2026-05-20T13:42:00Z,301.08,13466,182
2026-05-20T13:43:00Z,301.54,5724,131
2026-05-20T13:44:00Z,301.89,9301,176
2026-05-20T13:45:00Z,302.02,18071,255
2026-05-20T13:46:00Z,301.65,7129,145
2026-05-20T13:47:00Z,301.525,4179,84
2026-05-20T13:48:00Z,301.48,4704,82
2026-05-20T13:49:00Z,301.335,5920,97
2026-05-20T13:50:00Z,301.51,5255,110
2026-05-20T13:51:00Z,301.285,6113,136
2026-05-20T13:52:00Z,301.11,7398,96
2026-05-20T13:53:00Z,301.26,2328,76
2026-05-20T13:54:00Z,301.12,3773,105
2026-05-20T13:55:00Z,300.52,4615,104
2026-05-20T13:56:00Z,300.28,5344,105
2026-05-20T13:57:00Z,300.37,3786,75
2026-05-20T13:58:00Z,300.09,3656,81
2026-05-20T13:59:00Z,300.22,3884,91
2026-05-20T14:00:00Z,300.04,7851,140
2026-05-20T14:01:00Z,300.155,6708,118
2026-05-20T14:02:00Z,299.85,6744,112
2026-05-20T14:03:00Z,299.57,10156,131
2026-05-20T14:04:00Z,299.66,6729,132
2026-05-20T14:05:00Z,299.755,4529,65
2026-05-20T14:06:00Z,299.685,5103,111
2026-05-20T14:07:00Z,299.85,3795,72
2026-05-20T14:08:00Z,299.605,4485,100
2026-05-20T14:09:00Z,299.44,6558,140
2026-05-20T14:10:00Z,299.37,4713,86
2026-05-20T14:11:00Z,299.42,2500,71
2026-05-20T14:12:00Z,299.35,3814,76
2026-05-20T14:13:00Z,299.35,2870,78
2026-05-20T14:14:00Z,299.53,12335,197
2026-05-20T14:15:00Z,299.655,4138,67
2026-05-20T14:16:00Z,300.14,5738,100
2026-05-20T14:17:00Z,300.01,3650,62
2026-05-20T14:18:00Z,299.76,3875,82
2026-05-20T14:19:00Z,299.745,7880,122
2026-05-20T14:20:00Z,299.93,7987,118
2026-05-20T14:21:00Z,299.85,5019,77
2026-05-20T14:22:00Z,300.11,3551,80
2026-05-20T14:23:00Z,299.78,7460,93
2026-05-20T14:24:00Z,299.48,4865,90
2026-05-20T14:25:00Z,299.35,5448,89
2026-05-20T14:26:00Z,299.64,3682,59
2026-05-20T14:27:00Z,299.525,2994,49
2026-05-20T14:28:00Z,299.46,4008,73
2026-05-20T14:29:00Z,299.48,5696,89
2026-05-20T14:30:00Z,300.02,3479,82
2026-05-20T14:31:00Z,299.94,2862,50
2026-05-20T14:32:00Z,299.895,4205,71
2026-05-20T14:33:00Z,299.93,3476,66
