timestamp,close,vol,trade_count
2026-05-20T12:49:00Z,260.28,100,1
2026-05-20T13:30:00Z,260.65,9347,160
2026-05-20T13:31:00Z,261.515,5001,85
2026-05-20T13:32:00Z,261.27,4984,75
2026-05-20T13:33:00Z,261.21,6960,86
2026-05-20T13:34:00Z,260.65,9028,86
2026-05-20T13:35:00Z,259.92,3377,80
2026-05-20T13:36:00Z,260,6571,96
2026-05-20T13:37:00Z,259.675,2459,60
2026-05-20T13:38:00Z,260.06,3669,52
2026-05-20T13:39:00Z,260.365,7677,88
2026-05-20T13:40:00Z,260.855,6581,75
2026-05-20T13:41:00Z,261.07,7518,97
2026-05-20T13:42:00Z,261.34,5035,66
2026-05-20T13:43:00Z,261.5,5052,66
2026-05-20T13:44:00Z,261.63,9547,115
2026-05-20T13:45:00Z,261.81,9111,133
2026-05-20T13:46:00Z,262.36,5659,98
2026-05-20T13:47:00Z,263.105,11439,133
2026-05-20T13:48:00Z,262.075,13085,148
2026-05-20T13:49:00Z,261.43,10831,108
2026-05-20T13:50:00Z,261.5,4145,56
2026-05-20T13:51:00Z,261.01,6172,85
2026-05-20T13:52:00Z,261.39,2818,38
2026-05-20T13:53:00Z,261.48,3323,38
2026-05-20T13:54:00Z,261.13,1702,43
2026-05-20T13:55:00Z,260.77,1772,38
2026-05-20T13:56:00Z,261.01,4627,63
2026-05-20T13:57:00Z,261.24,2822,43
2026-05-20T13:58:00Z,261.145,2836,52
2026-05-20T13:59:00Z,261.46,4069,60
2026-05-20T14:00:00Z,261.255,8154,76
2026-05-20T14:01:00Z,261.18,5513,73
2026-05-20T14:02:00Z,261.23,10930,113
2026-05-20T14:03:00Z,261.06,4091,58
2026-05-20T14:04:00Z,261.7,2964,48
2026-05-20T14:05:00Z,261.12,5457,75
2026-05-20T14:06:00Z,261.23,3838,50
2026-05-20T14:07:00Z,261.13,1381,28
2026-05-20T14:08:00Z,260.92,2931,49
2026-05-20T14:09:00Z,260.66,2819,51
2026-05-20T14:10:00Z,261.08,4544,62
2026-05-20T14:11:00Z,260.56,4702,69
2026-05-20T14:12:00Z,260.62,2095,44
2026-05-20T14:13:00Z,260.75,2089,45
2026-05-20T14:14:00Z,261.245,6320,97
2026-05-20T14:15:00Z,261.475,3447,52
2026-05-20T14:16:00Z,262.48,4741,78
2026-05-20T14:17:00Z,262.17,2924,47
2026-05-20T14:18:00Z,262.1,3645,53
2026-05-20T14:19:00Z,262.25,5842,67
2026-05-20T14:20:00Z,262.41,6034,70
2026-05-20T14:21:00Z,262.295,7009,105
2026-05-20T14:22:00Z,262.365,3786,54
2026-05-20T14:23:00Z,261.95,6387,87
2026-05-20T14:24:00Z,261.86,5183,79
2026-05-20T14:25:00Z,261.885,3378,54
2026-05-20T14:26:00Z,261.99,3593,40
2026-05-20T14:27:00Z,262.11,4212,51
2026-05-20T14:28:00Z,261.995,4518,59
2026-05-20T14:29:00Z,262.105,2413,35
2026-05-20T14:30:00Z,262.47,5640,73
2026-05-20T14:31:00Z,262.68,4293,53
2026-05-20T14:32:00Z,262.72,3479,48
2026-05-20T14:33:00Z,262.59,6522,97
2026-05-20T14:34:00Z,262.45,4062,76
2026-05-20T14:35:00Z,262.435,3171,44
2026-05-20T14:36:00Z,262.56,7439,75
2026-05-20T14:37:00Z,262.415,6135,71
2026-05-20T14:38:00Z,262.62,7086,70
2026-05-20T14:39:00Z,262.465,7154,74
2026-05-20T14:40:00Z,262.295,5810,66
2026-05-20T14:41:00Z,262.26,6478,61
2026-05-20T14:42:00Z,262.35,1029,15
2026-05-20T14:43:00Z,262.42,1106,17
2026-05-20T14:44:00Z,262.565,1696,29
2026-05-20T14:45:00Z,262.56,5920,95
2026-05-20T14:46:00Z,262.63,4296,55
