timestamp,close,vol,trade_count
2026-05-20T13:22:00Z,603.18,80,3
2026-05-20T13:30:00Z,601.03,1620,82
2026-05-20T13:31:00Z,599.725,1299,32
2026-05-20T13:32:00Z,600.865,960,27
2026-05-20T13:33:00Z,600.58,945,21
2026-05-20T13:34:00Z,600.71,829,35
2026-05-20T13:35:00Z,599.29,1218,66
2026-05-20T13:36:00Z,600.66,1310,25
2026-05-20T13:37:00Z,600.63,805,28
2026-05-20T13:38:00Z,601.11,1408,29
2026-05-20T13:39:00Z,601.64,1695,58
2026-05-20T13:40:00Z,601.015,680,23
2026-05-20T13:41:00Z,601.66,1507,44
2026-05-20T13:42:00Z,600.635,822,27
2026-05-20T13:43:00Z,600.19,1901,59
2026-05-20T13:44:00Z,600.4,1890,59
2026-05-20T13:45:00Z,600.715,2133,54
2026-05-20T13:46:00Z,601.83,1378,35
2026-05-20T13:47:00Z,601.975,2154,46
2026-05-20T13:48:00Z,602.2,1082,24
2026-05-20T13:49:00Z,601.11,1318,27
2026-05-20T13:50:00Z,601.135,633,21
2026-05-20T13:51:00Z,600.03,480,13
2026-05-20T13:52:00Z,600.38,923,30
2026-05-20T13:53:00Z,600.48,616,22
2026-05-20T13:54:00Z,600.07,800,30
2026-05-20T13:55:00Z,600.16,789,26
2026-05-20T13:56:00Z,600.48,1783,42
2026-05-20T13:57:00Z,600.55,676,22
2026-05-20T13:58:00Z,600.57,876,19
2026-05-20T13:59:00Z,600.16,1234,42
2026-05-20T14:00:00Z,599.53,931,31
2026-05-20T14:01:00Z,599.03,576,25
2026-05-20T14:02:00Z,599.33,437,28
2026-05-20T14:03:00Z,599.45,871,33
2026-05-20T14:04:00Z,600.08,342,17
2026-05-20T14:05:00Z,598.86,869,31
2026-05-20T14:06:00Z,599.81,789,18
2026-05-20T14:07:00Z,598.88,890,27
2026-05-20T14:08:00Z,598.29,1495,40
2026-05-20T14:09:00Z,598.01,792,25
2026-05-20T14:10:00Z,598.65,591,20
2026-05-20T14:11:00Z,598.14,471,25
2026-05-20T14:12:00Z,598.24,634,40
2026-05-20T14:13:00Z,598.34,485,20
2026-05-20T14:14:00Z,599.43,1595,55
2026-05-20T14:15:00Z,600.82,994,34
2026-05-20T14:16:00Z,601.51,870,32
2026-05-20T14:17:00Z,601.635,1190,29
2026-05-20T14:18:00Z,601.395,3148,58
2026-05-20T14:19:00Z,602.56,2724,56
2026-05-20T14:20:00Z,602.48,7049,136
2026-05-20T14:21:00Z,602.04,2275,46
2026-05-20T14:22:00Z,602.19,1003,26
2026-05-20T14:23:00Z,601.42,936,33
2026-05-20T14:24:00Z,600.4,921,49
2026-05-20T14:25:00Z,600.54,413,12
2026-05-20T14:26:00Z,601.25,576,19
2026-05-20T14:27:00Z,601.3,1937,14
2026-05-20T14:28:00Z,600.865,781,23
2026-05-20T14:29:00Z,601.29,1070,27
2026-05-20T14:30:00Z,601.68,312,15
2026-05-20T14:31:00Z,602.05,249,14
2026-05-20T14:32:00Z,602.33,476,25
2026-05-20T14:33:00Z,602.225,815,25
2026-05-20T14:34:00Z,602.04,536,30
2026-05-20T14:35:00Z,602,882,25
